@relation SalesTraining

@attribute seasonality numeric
@attribute qty numeric

@data
2,91
2,95
2,98
2,91
2,97
2,90
2,99
2,93
2,94
2,97
2,99
2,97
2,98
2,93
2,99
2,96
2,91
2,95
2,91
2,92
2,90
2,100
2,95
2,93
2,92
2,90
2,95
2,100
2,99
2,100
2,91
2,95
2,96
2,90
2,99
2,99
2,94
2,100
2,93
2,94
2,98
2,94
2,94
2,98
2,92
2,90
2,96
2,93
2,100
2,100
2,94
2,94
2,97
2,100
2,99
2,90
2,98
2,98
2,95
2,97
2,100
2,92
2,99
2,96
2,100
2,97
2,95
2,91
2,96
2,90
2,93
2,97
2,98
2,97
2,98
2,97
2,95
2,90
2,100
2,97
2,95
2,93
2,97
2,92
2,99
2,93
2,92
2,98
2,95
2,92
2,100
2,97
2,100
2,97
2,100
2,96
2,98
2,100
2,95
2,98
2,99
2,91
2,97
2,90
2,94
2,93
2,91
2,99
2,91
2,91
2,90
2,95
2,99
2,99
2,94
2,99
2,99
2,91
2,92
2,98
2,97
2,92
2,93
2,95
2,93
2,92
2,90
2,100
2,96
2,92
2,96
2,96
2,95
2,94
2,97
2,98
2,100
2,100
2,97
2,99
2,95
2,92
2,96
2,94
2,99
2,90
2,98
2,91
2,97
2,92
2,98
2,92
2,100
2,92
2,97
2,98
2,90
2,91
2,97
2,92
2,100
2,97
2,96
2,97
2,98
2,94
2,90
2,98
2,98
2,96
2,92
2,93
2,98
2,99
2,94
2,94
2,93
2,96
2,91
2,95
2,100
2,98
2,99
2,100
2,95
2,98
2,98
2,95
2,90
2,95
2,92
2,91
2,96
2,98
2,98
2,100
2,92
2,95
2,94
2,97
2,91
2,98
2,99
2,96
2,91
2,90
2,99
2,99
2,90
2,97
2,90
2,98
2,94
2,92
2,90
2,99
2,92
2,96
2,91
2,95
2,99
2,92
2,92
2,96
2,100
2,90
2,98
2,97
2,99
2,95
2,96
2,92
2,95
2,98
2,98
2,92
2,90
2,90
2,91
2,94
2,92
2,97
2,94
2,96
2,98
2,93
2,98
2,94
2,92
2,99
2,95
2,100
2,100
2,97
2,93
2,91
2,96
2,90
2,98
2,93
2,95
2,95
2,97
2,90
2,95
2,97
2,91
2,96
2,91
2,98
2,96
2,98
2,93
2,93
2,99
2,92
2,93
2,91
2,91
2,100
2,90
2,100
2,90
2,100
2,98
2,90
2,97
2,90
2,94
2,90
2,97
2,93
2,100
2,98
2,90
2,92
2,95
2,91
2,95
2,91
2,94
2,98
2,98
2,97
2,96
2,99
2,94
2,91
2,97
2,97
2,97
2,92
2,97
2,91
2,98
2,98
2,99
2,90
2,98
2,96
2,90
2,100
2,99
2,91
2,92
2,93
2,95
2,97
2,98
2,97
2,97
2,99
2,92
2,92
2,91
2,90
2,95
2,94
2,96
2,99
2,98
2,98
2,91
2,90
2,93
2,94
2,90
